ID,SurNum,Date,File1,Score1,File2,Score2
702193,49,22/10/2021 16:19,025098_gt.jpg,5,025098AC_1.jpg,2
319460,49,22/10/2021 16:19,025098_gt.jpg,5,025098AC_1.jpg,4
968370,49,22/10/2021 16:19,151087AF_9.jpg,4,151087_gt.jpg,5
929087,49,22/10/2021 16:19,242078_gt.jpg,5,242078D_2.jpg,4
376466,49,22/10/2021 16:19,022090AF_7.jpg,3,022090_gt.jpg,4
968370,49,22/10/2021 16:19,078019C_4.jpg,4,078019_gt.jpg,5
319460,49,22/10/2021 16:19,046076_gt.jpg,5,046076B_4.jpg,5
702193,49,22/10/2021 16:19,046076_gt.jpg,3,046076B_4.jpg,5
319460,49,22/10/2021 16:20,118035_gt.jpg,4,118035AF_12.jpg,5
702193,49,22/10/2021 16:20,118035_gt.jpg,5,118035AF_12.jpg,4
376466,49,22/10/2021 16:20,118020F_4.jpg,4,118020_gt.jpg,3
968370,49,22/10/2021 16:20,376001_gt.jpg,5,376001B_3.jpg,3
319460,49,22/10/2021 16:20,151087AF_9.jpg,5,151087_gt.jpg,5
702193,49,22/10/2021 16:20,151087AF_9.jpg,4,151087_gt.jpg,4
929087,49,22/10/2021 16:20,024004_gt.jpg,4,024004AB_2.jpg,5
376466,49,22/10/2021 16:20,153093B_1.jpg,2,153093_gt.jpg,5
319460,49,22/10/2021 16:20,078019C_4.jpg,5,078019_gt.jpg,5
968370,49,22/10/2021 16:20,015004_gt.jpg,5,015004D_3.jpg,3
702193,49,22/10/2021 16:20,078019C_4.jpg,5,078019_gt.jpg,4
319460,49,22/10/2021 16:20,376001_gt.jpg,5,376001B_3.jpg,4
376466,49,22/10/2021 16:20,242078_gt.jpg,5,242078D_2.jpg,3
968370,49,22/10/2021 16:20,065019_gt.jpg,5,065019F_3.jpg,4
702193,49,22/10/2021 16:20,376001_gt.jpg,3,376001B_3.jpg,5
319460,49,22/10/2021 16:20,015004_gt.jpg,5,015004D_3.jpg,1
376466,49,22/10/2021 16:20,024004_gt.jpg,5,024004AB_2.jpg,4
968370,49,22/10/2021 16:20,140075_gt.jpg,5,140075AG_4.jpg,1
376466,49,22/10/2021 16:20,323016AF_7.jpg,4,323016_gt.jpg,5
319460,49,22/10/2021 16:20,065019_gt.jpg,5,065019F_3.jpg,5
929087,49,22/10/2021 16:20,323016AF_7.jpg,5,323016_gt.jpg,4
376466,49,22/10/2021 16:20,025098_gt.jpg,5,025098AC_1.jpg,3
319460,49,22/10/2021 16:20,140075_gt.jpg,5,140075AG_4.jpg,4
702193,49,22/10/2021 16:20,015004_gt.jpg,5,015004D_3.jpg,3
376466,49,22/10/2021 16:21,046076_gt.jpg,4,046076B_4.jpg,4
968370,49,22/10/2021 16:21,187029_gt.jpg,5,187029AC_2.jpg,5
319460,49,22/10/2021 16:21,187029_gt.jpg,5,187029AC_2.jpg,5
