,GT FileName,lpips-alex-r,lpips-alex-p
0,015004_gt.jpg,-0.352,0.004
1,022090_gt.jpg,-0.125,0.319
2,022093_gt.jpg,-0.267,0.03
3,024004_gt.jpg,-0.502,0.0
4,025098_gt.jpg,-0.395,0.001
5,046076_gt.jpg,-0.454,0.0
6,056028_gt.jpg,-0.368,0.002
7,065019_gt.jpg,-0.337,0.006
8,078019_gt.jpg,-0.589,0.0
9,118020_gt.jpg,-0.513,0.0
10,118035_gt.jpg,-0.569,0.0
11,140075_gt.jpg,-0.545,0.0
12,151087_gt.jpg,-0.559,0.0
13,153093_gt.jpg,-0.709,0.0
14,187029_gt.jpg,-0.529,0.0
15,198023_gt.jpg,-0.726,0.0
16,239096_gt.jpg,-0.566,0.0
17,242078_gt.jpg,-0.725,0.0
18,323016_gt.jpg,-0.653,0.0
19,376001_gt.jpg,-0.424,0.0
20,All,-0.495,0.0
