,GT FileName,lpips-vgg-r,lpips-vgg-p
0,015004_gt.jpg,-0.291,0.018
1,022090_gt.jpg,-0.114,0.36
2,022093_gt.jpg,-0.165,0.186
3,024004_gt.jpg,-0.538,0.0
4,025098_gt.jpg,-0.369,0.002
5,046076_gt.jpg,-0.314,0.01
6,056028_gt.jpg,-0.384,0.001
7,065019_gt.jpg,-0.399,0.001
8,078019_gt.jpg,-0.602,0.0
9,118020_gt.jpg,-0.539,0.0
10,118035_gt.jpg,-0.596,0.0
11,140075_gt.jpg,-0.586,0.0
12,151087_gt.jpg,-0.583,0.0
13,153093_gt.jpg,-0.717,0.0
14,187029_gt.jpg,-0.527,0.0
15,198023_gt.jpg,-0.658,0.0
16,239096_gt.jpg,-0.604,0.0
17,242078_gt.jpg,-0.736,0.0
18,323016_gt.jpg,-0.57,0.0
19,376001_gt.jpg,-0.394,0.001
20,All,-0.474,0.0
