,GT FileName,lpips-vgg-r,lpips-vgg-p
0,015004_gt.jpg,-0.234,0.006
1,022090_gt.jpg,-0.085,0.311
2,022093_gt.jpg,-0.192,0.023
3,024004_gt.jpg,-0.346,0.0
4,025098_gt.jpg,-0.271,0.001
5,046076_gt.jpg,-0.303,0.0
6,056028_gt.jpg,-0.253,0.003
7,065019_gt.jpg,-0.262,0.002
8,078019_gt.jpg,-0.432,0.0
9,118020_gt.jpg,-0.359,0.0
10,118035_gt.jpg,-0.404,0.0
11,140075_gt.jpg,-0.37,0.0
12,151087_gt.jpg,-0.356,0.0
13,153093_gt.jpg,-0.514,0.0
14,187029_gt.jpg,-0.367,0.0
15,198023_gt.jpg,-0.504,0.0
16,239096_gt.jpg,-0.441,0.0
17,242078_gt.jpg,-0.527,0.0
18,323016_gt.jpg,-0.439,0.0
19,376001_gt.jpg,-0.298,0.0
20,All,-0.341,0.0
